Words,X,Y,Group,Value,Model
expression,5.1801863,1.294162,10,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
control,8.944664,5.434743,10,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
2020,6.244696,-5.5485554,10,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
tests,4.1613226,0.49603942,11,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
sensitivity,3.01413,11.358955,11,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
new,8.632768,0.9502206,11,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
studies,11.5211315,3.2522058,11,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
present,8.9016695,-5.026748,11,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
levels,6.082954,-9.037282,12,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
vaccination,12.731487,-1.0805068,12,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
two,8.168736,-7.88694,12,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
cell,13.298864,-2.3362887,12,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
protein,8.335734,6.900166,12,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
ovarian,-0.67488974,-2.3793743,13,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
first,2.4493623,4.6273623,13,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pediatric,5.3827486,-0.8089882,13,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
reported,6.9017186,-6.291748,13,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
group,2.2700696,-4.9961224,13,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
rt-pcr,2.4393687,4.9351587,14,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
risk,7.1263523,-1.5680957,14,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
analysis,6.128282,1.0817794,14,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
endometrial,-4.0729647,0.451254,14,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
well,10.11395,-1.6835364,14,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
patient,2.4641411,-1.0667129,15,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
age,6.8451223,-7.576898,15,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
population,3.7714028,4.6854134,15,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
care,10.473269,-5.082871,15,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
reaction,2.0743759,-2.7993603,15,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
development,7.0092335,-10.533746,16,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
antibody,6.3442707,3.9055495,16,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
use,11.849919,-0.23218296,16,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
showed,3.2177813,-2.3733652,16,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
one,4.7718806,-3.9811862,16,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
rapid,12.940229,-0.33491167,17,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
individuals,4.7373967,-3.3553104,17,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
response,6.698291,3.855653,17,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
review,8.47243,-0.79560274,17,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
adults,4.08015,-6.730498,17,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
assay,3.6999607,6.160716,18,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
negative,2.29146,8.173996,18,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
features,10.293293,5.5843544,18,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
found,4.7434134,-4.045857,18,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
novel,12.215804,-1.7444504,18,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
years,3.9803534,-4.631942,19,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
higher,1.6283293,-7.1308155,19,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
antibodies,5.112741,5.6524773,19,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
time,4.584799,4.2878876,19,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
lesions,10.064043,-8.324393,19,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
potential,8.588908,-0.8630302,20,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
evidence,6.184156,7.914598,20,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
specific,4.528763,9.738273,20,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
different,5.2483892,4.412362,20,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
blood,3.1163793,1.9333123,20,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
based,5.720784,1.2025062,21,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
management,5.684979,1.0277781,21,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
current,6.063744,6.799012,21,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
developed,4.685385,-0.5691776,21,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
days,4.495294,4.796378,21,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
public,1.3868777,11.022766,22,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
common,10.954609,-1.2039404,22,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
assays,3.9588745,0.29071078,22,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
identified,6.3767977,1.2878411,22,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
significant,8.066187,4.9468393,22,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
several,2.8681974,-3.2410753,23,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
95,5.6214714,-9.378772,23,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
performed,4.6403575,-1.0244967,23,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
increased,12.679327,-3.509238,23,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
report,5.8046913,8.060155,23,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
laboratory,4.6455913,-0.8377551,24,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
human,7.323332,5.0380673,24,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
mrna,10.54346,-2.1100943,24,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
due,1.3304553,-7.7697496,24,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
model,5.1070395,3.9256172,24,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
findings,5.1289697,-9.856613,25,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
could,4.2361407,-9.075851,25,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
caused,11.767207,0.56741863,25,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
medical,4.928907,5.557011,25,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
early,6.156232,-1.118627,25,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
available,9.129189,-5.2725887,26,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
spread,10.333305,4.5934553,26,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
within,2.2964017,5.780745,26,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
significantly,4.6568294,-4.9552507,26,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
tissue,-8.059109,8.598522,26,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
described,11.261727,-3.1843626,27,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
without,3.8100836,-9.278329,27,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
observed,3.0884774,7.3814926,27,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
chain,2.0795736,-2.8097801,27,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
similar,9.796312,2.417353,27,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
igg,10.447048,1.4168165,28,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pelvic,-4.755027,9.627621,28,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
groups,2.6333933,-4.9717283,28,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
effects,7.2667723,-1.3176686,28,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
illness,5.3286123,-6.2392535,28,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
molecular,5.897559,0.5051168,29,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
abdominal,-2.8078966,0.19497931,29,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
methods,1.9862373,8.825742,29,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
transmission,2.8481174,-8.876117,29,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
factors,7.136789,-1.9601009,29,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
surgery,-6.611592,5.142625,30,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
mild,11.14528,-4.195629,30,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
role,10.219001,3.3924768,30,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
global,9.314287,-1.0448154,30,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
specificity,3.0146976,11.358102,30,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
provide,4.9795375,-0.34206107,31,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
need,7.5018234,-10.028907,31,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
asymptomatic,3.5994911,-6.032855,31,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
endometriotic,-1.3254836,-8.000721,31,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
ci,5.623339,-9.356275,31,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
effective,2.9740493,-3.1845846,32,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
presentation,11.563503,3.3102276,32,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
although,7.131176,5.9196005,32,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
low,6.8725133,-1.8163145,32,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
gene,3.2884984,6.8420296,32,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
lower,3.2185905,-2.8051257,33,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
endometrium,-11.440875,0.47370344,33,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
respectively,10.797494,-3.7805011,33,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pathogenesis,11.493415,-2.350962,33,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
research,9.514894,3.9758515,33,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
infertility,-9.981883,2.4766111,34,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
chronic,10.121301,-6.574973,34,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
infected,6.664167,-6.5358105,34,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
approach,7.8769174,6.852827,34,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
fever,11.312437,2.2265937,34,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
genes,2.6895194,-3.4011698,35,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
many,9.975515,3.6378994,35,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
highly,12.16563,-1.130493,35,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
saliva,3.0211852,-1.0007223,35,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
kd,-10.722922,-4.342909,35,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
important,2.7555814,4.0851192,36,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
diseases,6.047798,-3.4286027,36,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
rate,2.525518,-5.9771156,36,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pcr,3.680704,6.074534,36,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
tested,3.0245771,-7.8808627,36,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
reports,12.701269,-1.0003889,37,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
decreased,3.3391943,-2.6602724,37,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
rare,11.264885,-4.1488657,37,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
infections,5.0309777,6.7086134,37,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
since,11.282565,2.2079868,37,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
three,2.0641963,8.574769,38,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
prevalence,7.4219475,-1.6169238,38,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
responses,2.9359982,4.1913085,38,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
confirmed,6.567923,-4.241171,38,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
following,9.753729,-8.229398,38,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
strategies,5.8258348,-1.3748068,39,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
manifestations,9.994666,-8.163976,39,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
total,2.5212474,-5.992431,39,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
evaluated,8.197743,-7.9504066,39,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
variants,9.333573,-2.2199407,39,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
worldwide,10.009499,2.0447407,40,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
conditions,3.657338,6.086279,40,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
various,1.5401679,-5.935501,40,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
characterized,11.290443,2.2268634,40,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
models,2.5241444,-5.9013863,40,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
outcomes,7.7984133,-5.8694787,41,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
method,2.3262272,5.5410028,41,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
ectopic,-2.1778352,-7.6456323,41,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
number,6.070847,-9.418961,41,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
reverse,2.0767584,-2.8011646,41,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
result,3.537523,-0.9273313,42,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
presence,6.1690025,-4.5406876,42,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
system,8.935648,-5.4140425,42,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
recent,9.883584,0.39331195,42,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
standard,8.407488,3.4911876,42,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
critical,7.045184,-10.528657,43,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
12,2.9322977,-9.880404,43,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
performance,4.2628508,4.041152,43,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
2021,8.878618,-1.5379647,43,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
association,7.923365,-9.2918005,43,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
included,8.273229,-6.4254017,44,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
shock,0.3293831,3.2510016,44,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
received,4.421995,-3.1903486,44,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
across,2.5678246,-5.9913406,44,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
inflammation,11.298075,2.2166405,44,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
efficacy,5.5571527,-2.6374621,45,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
activation,-1.4269897,3.7096853,45,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
10,8.856316,-1.4098145,45,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
kawasaki,-4.780903,9.027545,45,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
hospital,8.749571,-5.6029267,45,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
often,6.1000023,-9.326705,46,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
antigen,7.1439714,-0.11147829,46,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
severity,12.592815,-3.5585828,46,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pregnancy,7.8627934,7.8061905,46,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
nucleic,1.3008618,8.051067,46,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
surgical,-6.7186847,6.924756,47,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
immunity,7.7016196,-1.7307649,47,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
limited,12.068167,-1.8545367,47,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
adolescents,11.210724,2.0788178,47,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
diagnosed,6.5965757,-5.8960633,47,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
sample,3.4472313,2.151609,48,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
reduced,6.8138328,4.791417,48,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
prevention,4.0792565,-7.596583,48,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
therapy,10.568836,5.37246,48,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
months,6.1866336,7.9862366,48,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
countries,7.1254354,-7.538705,49,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
detected,5.282281,-7.385441,49,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
revealed,9.790016,-0.33452588,49,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
proteins,13.28623,-2.1107957,49,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
identify,2.6685789,-3.0035412,49,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
polymerase,2.077605,-2.8035324,50,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
30,2.7413962,2.9943616,50,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
100,3.5721304,-0.919624,50,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
serum,12.740466,-3.5335326,50,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
related,8.243505,-6.1879287,50,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
14,3.4486754,-1.4048207,51,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
receptor,13.600707,2.1235301,51,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
impact,6.574994,-2.3887687,51,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
spike,13.285914,-2.1178389,51,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
initial,6.305445,-4.2034187,51,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
healthy,4.5049043,4.9397593,52,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
analyzed,7.2164583,-4.78396,52,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
suggest,2.4283032,5.769687,52,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
