Words,X,Y,Z,Group,Value,Model
2020,-4.2318673,-6.113481,0.86233395,10,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
tests,2.9450266,-0.7804662,3.4701293,11,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
sensitivity,4.460509,2.790005,5.368696,11,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
new,0.19257255,-4.338126,4.9554,11,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
studies,-5.5823116,-5.4367595,4.959825,11,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
present,1.5860082,-7.647725,3.6294563,11,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
levels,0.44169495,-8.534523,1.8849218,12,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
vaccination,1.6272906,-2.8650234,7.520847,12,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
two,-3.640086,-7.539096,1.2167889,12,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
cell,0.5457472,-3.8496473,8.028733,12,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
protein,0.82440025,0.89166343,7.752673,12,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
ovarian,-1.1111315,3.8411384,-1.5116616,13,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
first,-2.3073466,-0.6517305,3.2975938,13,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pediatric,-7.379238,-3.6414638,0.8474156,13,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
reported,2.5075438,-5.9438195,3.300054,13,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
group,-2.3047974,-5.2470865,-3.6022508,13,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
rt-pcr,-0.6369084,-0.401467,3.560584,14,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
risk,1.1061958,-4.2554846,2.879289,14,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
analysis,-3.6465662,-5.4609184,-0.1800669,14,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
endometrial,0.88569564,0.7982435,-4.9400787,14,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
well,1.919995,-4.673446,5.616953,14,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
patient,3.9539309,-3.8373477,-2.4099128,15,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
age,-1.4240534,-7.5177584,1.5587751,15,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
population,5.863261,1.4841897,2.9302597,15,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
care,-0.030030146,-6.968917,4.6569476,15,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
reaction,-6.8705716,-2.0805914,-1.1442508,15,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
development,5.9831214,-5.717082,2.4660535,16,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
antibody,-0.83901006,-0.9656048,5.2483315,16,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
use,4.3357224,-2.9136975,7.2107034,16,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
showed,2.7875888,-3.1295664,0.58573395,16,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
one,-1.3773695,-4.418709,1.581855,16,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
rapid,1.8594675,-2.6576722,8.67247,17,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
individuals,7.0473747,-1.5470207,2.9622285,17,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
response,-0.018408608,0.6231603,6.10078,17,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
review,-0.63100004,-1.8959786,6.1247115,17,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
adults,-3.6005914,-6.6487293,-1.30332,17,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
assay,0.17662129,0.68586105,4.4555798,18,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
negative,-4.4284105,0.49472132,1.9180449,18,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
features,-3.9175465,-0.20246345,8.012817,18,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
found,-2.8205445,-3.9197996,1.5368322,18,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
novel,3.6043599,-4.171114,7.2358003,18,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
years,-5.055977,-3.1160371,-0.5140468,19,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
higher,6.021818,-3.477423,0.2081654,19,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
antibodies,4.214508,-2.0940053,2.1014712,19,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
time,-4.409824,0.008154712,3.5817435,19,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
lesions,-2.3368652,-8.369881,2.5307844,19,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
potential,-0.6336363,-1.820319,6.319406,20,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
evidence,-6.3024077,1.7501878,3.7067997,20,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
specific,1.2670255,4.1269503,5.0275397,20,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
different,5.048635,0.99813503,4.5856404,20,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
blood,6.3060107,-2.52561,-1.2097745,20,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
based,1.5050802,-0.89847845,5.1162105,21,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
management,1.4468055,-0.96225977,5.047977,21,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
current,-0.4153756,1.1001354,5.633482,21,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
developed,2.777111,-2.016123,2.4231298,21,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
days,-7.0241275,-0.88622165,0.9696467,21,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
public,6.0218716,-3.7210455,-3.2449825,22,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
common,-2.2450135,-5.8471923,6.313617,22,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
assays,3.2983003,-1.1378055,2.1088448,22,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
identified,-5.806042,-1.7713298,3.0384152,22,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
significant,-7.259853,-1.7992184,4.257601,22,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
several,1.4302301,-4.737,-0.24338183,23,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
95,4.9313655,-6.570843,0.554035,23,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
performed,2.7881598,-1.9568101,2.3850539,23,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
increased,-0.45207885,-5.1186147,7.670396,23,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
report,-5.963515,2.2144082,3.555159,23,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
laboratory,2.8715024,-2.0366614,2.360836,24,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
human,-3.033894,0.7089555,6.6107826,24,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
mrna,0.6671823,-5.3230915,5.432334,24,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
due,4.0378895,-4.970418,-1.654962,24,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
model,6.164529,0.3830285,4.0802226,24,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
findings,3.7952979,-7.048007,1.4239038,25,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
could,2.859782,-5.1037507,1.0815893,25,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
caused,0.8745222,-1.5832528,8.35078,25,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
medical,-3.9568884,0.58494955,4.6123867,25,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
early,3.622232,-1.8622679,5.70129,25,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
available,1.7745309,-7.7131085,3.9429255,26,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
spread,-2.2160776,-1.1735654,7.7390833,26,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
within,0.73782957,-1.7512004,2.9751143,26,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
significantly,-1.3612918,-5.9700723,-0.15437156,26,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
tissue,5.1685514,1.2256631,0.86357707,26,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
described,-3.7940547,-5.3173513,5.4546995,27,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
without,2.8136342,-5.136577,1.1287671,27,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
observed,-2.7339094,2.3618588,4.613253,27,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
chain,-6.8675404,-2.0843377,-1.1420741,27,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
similar,1.6541202,-1.0218459,6.8914475,27,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
igg,-4.885823,-3.4288561,5.9627166,28,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pelvic,-1.6313527,7.2344966,-2.5412776,28,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
groups,-2.060571,-5.484127,-3.0720813,28,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
effects,-0.13179173,-2.4340305,3.7157738,28,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
illness,-2.3410404,-6.775018,0.38487387,28,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
molecular,-3.0509098,-4.7362456,0.44870654,29,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
abdominal,-1.7277628,-0.29538107,-0.6267359,29,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
methods,4.3102007,2.611861,3.74905,29,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
transmission,1.8926084,-5.905798,-0.12002188,29,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
factors,1.4098754,-3.8339968,3.4738407,29,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
surgery,-3.2474742,0.07643503,-0.93790627,30,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
mild,-3.1798956,-7.031316,5.184535,30,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
role,-0.10296799,-1.1660674,8.037998,30,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
global,0.8477264,-1.913122,6.357006,30,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
specificity,4.460136,2.7899396,5.368823,30,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
provide,2.7490406,-2.113811,2.9959269,31,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
need,5.6399326,-5.851289,3.1431131,31,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
asymptomatic,-6.3976436,-4.167947,0.23268557,31,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
endometriotic,-2.3316715,0.34968692,-0.414797,31,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
ci,4.924457,-6.5606875,0.5677528,31,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
effective,0.9036913,-4.8291698,0.021460667,32,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
presentation,-5.704548,-5.421657,5.018659,32,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
although,3.1302903,0.36412117,6.434484,32,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
low,1.1745682,-4.291927,2.9918404,32,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
gene,-2.4577317,2.2124045,4.621271,32,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
lower,2.67955,-3.2751613,0.26977396,33,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
endometrium,1.618201,-2.6185627,-7.60492,33,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
respectively,-2.1975172,-6.990352,5.1219425,33,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pathogenesis,-0.42476338,-2.9936655,7.3774424,33,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
research,-0.6095225,0.18177646,8.803386,33,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
infertility,3.826135,4.4522824,0.6164822,34,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
chronic,-5.122372,-6.6552286,3.059471,34,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
infected,2.585529,-6.0821905,2.967576,34,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
approach,1.5913329,1.3956279,7.3169913,34,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
fever,-7.204066,-3.8923135,3.8477662,34,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
genes,3.6729255,-3.2238295,0.0063397884,35,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
many,-0.038359657,-0.7340413,8.112547,35,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
highly,3.9548056,-3.6102576,7.2585464,35,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
saliva,6.453643,-1.8542987,0.83025575,35,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
kd,0.020730928,7.549457,2.7494256,35,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
important,-2.400121,-0.24008833,3.5111454,36,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
diseases,-2.547046,-5.173184,2.1408563,36,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
rate,3.4824662,-3.6729178,1.8519914,36,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
pcr,3.1211505,0.9669519,3.8025665,36,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
tested,-0.5478587,-7.2614527,-0.5985692,36,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
reports,1.6450502,-2.8617697,7.459566,37,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
decreased,2.6005697,-3.0450149,0.5268026,37,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
rare,-3.4130952,-6.8290954,5.2948976,37,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
infections,2.3326612,1.8319461,5.0513196,37,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
since,-7.168467,-3.9177759,3.8679292,37,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
three,4.247853,2.7823913,3.7319021,38,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
prevalence,4.079025,-3.8475273,4.0281334,38,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
responses,-5.9512773,-0.39643762,2.0134134,38,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
confirmed,-3.2368405,-3.6931837,3.7025774,38,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
following,-2.378135,-7.8499947,2.8477216,38,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
strategies,-3.2564116,-4.1253414,1.7789342,39,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
manifestations,-2.835695,-7.8482614,2.7753305,39,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
total,3.2696567,-3.9166691,1.9118443,39,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
evaluated,-3.7060854,-7.6521487,1.1771601,39,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
variants,-2.5016973,-5.992518,4.2073874,39,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
worldwide,3.2611785,-1.7591834,6.801335,40,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
conditions,-3.3542054,-2.0609481,1.4198806,40,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
various,8.268407,-1.9015901,0.38642186,40,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
characterized,-7.1628466,-3.869312,3.8131397,40,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
models,3.491351,-3.4808323,1.9606717,40,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
outcomes,0.34145993,-6.499792,2.3619902,41,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
method,6.201716,-0.57799244,1.1393491,41,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
ectopic,5.852335,1.2867287,-0.72972155,41,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
number,-0.22605914,-8.87289,1.5054162,41,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
reverse,-6.8707304,-2.0805132,-1.143382,41,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
result,4.3443804,-2.4653494,0.80737275,42,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
presence,-3.9536104,-2.1234725,2.8771594,42,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
system,1.5741905,-7.8465157,3.5542629,42,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
recent,0.020337312,-0.06951977,6.866331,42,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
standard,-2.5870628,-1.1635969,6.272141,42,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
critical,5.9917574,-5.766245,2.4256299,43,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
12,3.0733337,-6.043236,-0.2308432,43,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
performance,-1.4015672,0.42285413,5.3807116,43,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
2021,1.3938857,-3.3791203,5.489217,43,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
association,4.11718,-7.7075152,1.7335409,43,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
included,-7.127561,-4.8556094,1.4900465,44,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
shock,-0.46184576,-0.09243411,-8.739955,44,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
received,-2.817845,-5.577917,-0.016207919,44,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
across,3.5135033,-3.5759969,1.9092122,44,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
inflammation,-7.1730843,-3.8949275,3.8442566,44,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
efficacy,0.38328788,-4.854519,1.8739946,45,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
activation,3.338962,1.1209768,-2.9784248,45,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
10,1.3310063,-3.3718414,5.4873114,45,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
kawasaki,0.6192885,-4.3968167,-1.4313953,45,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
hospital,1.4149859,-7.8947096,3.543934,45,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
often,-0.25381145,-8.816398,1.5512676,46,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
antigen,-1.5441158,-4.192327,3.562864,46,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
severity,-0.26608342,-5.270266,7.6209164,46,1,COVID-19_MIS-C_Endometriosis_word2vec-skipgram-trained.model
